item_id,source_image,baseline_section,baseline_route,suggested_qid,suggested_score,original_preflight_status,original_recommended_route,original_triggered_checks,original_decision_signals,calibrated_preflight_status,calibrated_recommended_route,calibrated_triggered_checks,calibrated_decision_signals,adjudication_available,adjudication_auto_match_correct,adjudication_final_decision,calibration_change
screenshots/Screenshot 2026-04-07 at 18.28.27.png,screenshots/Screenshot 2026-04-07 at 18.28.27.png,review-needed,manual review,q0710,50.089,warn,manual review,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,warn,manual review,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,true,false,approve-existing-qid,unchanged
screenshots/Screenshot 2026-04-07 at 18.28.47 1.png,screenshots/Screenshot 2026-04-07 at 18.28.47 1.png,review-needed,manual review,q0313,49.488,warn,manual review,topic-subtopic-drift-risk,topic-subtopic-drift-risk,warn,manual review,topic-subtopic-drift-risk,topic-subtopic-drift-risk,true,true,approve-existing-qid,unchanged
screenshots/Screenshot 2026-04-07 at 18.28.40.png,screenshots/Screenshot 2026-04-07 at 18.28.40.png,review-needed,manual review,q0298,48.635,pass,manual review,,,pass,manual review,,,true,false,create-new-question,unchanged
screenshots/Screenshot 2026-04-07 at 18.28.55.png,screenshots/Screenshot 2026-04-07 at 18.28.55.png,review-needed,manual review,q0761,48.499,warn,manual review,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,warn,manual review,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,true,false,approve-existing-qid,unchanged
screenshots/Screenshot 2026-04-07 at 18.28.30.png,screenshots/Screenshot 2026-04-07 at 18.28.30.png,review-needed,manual review,q0172,46.985,pass,manual review,,,pass,manual review,,,true,true,approve-existing-qid,unchanged
screenshots/Screenshot 2026-04-07 at 18.28.39.png,screenshots/Screenshot 2026-04-07 at 18.28.39.png,review-needed,manual review,q0792,46.961,warn,manual review,image-sign-symbol-mismatch-risk,image-sign-symbol-mismatch-risk,warn,manual review,image-sign-symbol-mismatch-risk,image-sign-symbol-mismatch-risk,true,false,approve-existing-qid,unchanged
screenshots/Screenshot 2026-04-07 at 18.28.29.png,screenshots/Screenshot 2026-04-07 at 18.28.29.png,unresolved,likely unresolved,q0773,44.334,warn,likely unresolved,image-sign-symbol-mismatch-risk,image-sign-symbol-mismatch-risk,warn,likely unresolved,image-sign-symbol-mismatch-risk,image-sign-symbol-mismatch-risk,true,false,approve-existing-qid,unchanged
screenshots/Screenshot 2026-04-07 at 18.28.49.png,screenshots/Screenshot 2026-04-07 at 18.28.49.png,unresolved,likely unresolved,q0425,43.31,warn,likely unresolved,image-sign-symbol-mismatch-risk,image-sign-symbol-mismatch-risk,warn,likely unresolved,image-sign-symbol-mismatch-risk,image-sign-symbol-mismatch-risk,true,false,approve-existing-qid,unchanged
screenshots/Screenshot 2026-04-07 at 18.28.32.png,screenshots/Screenshot 2026-04-07 at 18.28.32.png,unresolved,likely unresolved,q0190,42.102,pass,likely unresolved,,,pass,likely unresolved,,,true,false,approve-existing-qid,unchanged
screenshots/Screenshot 2026-04-07 at 18.28.50.png,screenshots/Screenshot 2026-04-07 at 18.28.50.png,unresolved,likely unresolved,q0224,41.538,pass,likely unresolved,,,pass,likely unresolved,,,true,true,approve-existing-qid,unchanged
screenshots/Screenshot 2026-04-07 at 18.28.45.png,screenshots/Screenshot 2026-04-07 at 18.28.45.png,unresolved,likely unresolved,q0419,41.531,warn,likely unresolved,image-sign-symbol-mismatch-risk,image-sign-symbol-mismatch-risk,warn,likely unresolved,image-sign-symbol-mismatch-risk,image-sign-symbol-mismatch-risk,true,true,approve-existing-qid,unchanged
screenshots/Screenshot 2026-04-07 at 18.28.24.png,screenshots/Screenshot 2026-04-07 at 18.28.24.png,unresolved,likely unresolved,q0851,39.748,warn,likely unresolved,image-sign-symbol-mismatch-risk,image-sign-symbol-mismatch-risk,warn,likely unresolved,image-sign-symbol-mismatch-risk,image-sign-symbol-mismatch-risk,true,true,approve-existing-qid,unchanged
